GeneID	Length	SRR12082751_P1.bam	SRR12082752_P.bam	SRR12082753_c.bam	SRR12082754_c.bam
ENSG00000223972	1735	0	0	2	1
ENSG00000227232	1351	30	17	31	21
ENSG00000278267	68	0	2	2	0
ENSG00000243485	1021	0	0	0	1
ENSG00000274890	138	0	0	0	0
ENSG00000237613	1219	0	0	0	0
ENSG00000268020	840	0	0	0	0
ENSG00000240361	940	0	0	0	0
ENSG00000186092	918	0	0	0	0
ENSG00000238009	3726	0	0	2	0
ENSG00000239945	1319	0	0	0	0
ENSG00000233750	3812	0	0	2	0
ENSG00000268903	755	5	7	6	4
ENSG00000269981	284	2	1	5	5
ENSG00000239906	323	0	1	0	0
ENSG00000241860	6195	3	3	7	1
ENSG00000222623	104	0	0	0	0
ENSG00000241599	457	0	0	4	0
ENSG00000279928	718	0	0	0	0
ENSG00000279457	1982	85	72	108	44
ENSG00000273874	68	0	0	1	0
ENSG00000275135	138	0	0	0	0
ENSG00000228463	4039	9	7	18	7
ENSG00000241670	457	0	0	0	0
ENSG00000236679	385	18	9	21	4
ENSG00000236743	676	0	0	0	0
ENSG00000236601	1095	1	0	0	0
ENSG00000237094	4792	11	5	8	2
ENSG00000269732	363	0	0	0	0
ENSG00000278566	939	0	0	0	0
ENSG00000224813	183	0	0	0	0
ENSG00000233653	2477	0	0	0	0
ENSG00000250575	1239	0	0	3	1
ENSG00000278757	104	0	0	0	0
ENSG00000230021	4479	3	2	0	2
ENSG00000235146	635	0	0	0	0
ENSG00000225972	372	56	132	168	115
ENSG00000225630	1044	1763	2429	2803	762
ENSG00000276171	63	5	39	19	9
ENSG00000237973	1543	2274	9030	3781	811
ENSG00000278791	89	0	0	0	0
ENSG00000229344	682	144	288	196	164
ENSG00000240409	207	14	7	23	26
ENSG00000248527	681	2115	6127	5478	2356
ENSG00000198744	547	218	290	351	174
ENSG00000268663	424	0	0	0	0
ENSG00000273547	939	0	0	0	0
ENSG00000229376	2455	0	0	0	0
ENSG00000228327	6432	46	43	33	10
ENSG00000223181	104	2	2	1	0
ENSG00000229905	456	0	0	0	0
ENSG00000237491	5517	6	7	10	5
ENSG00000230092	872	11	5	0	1
ENSG00000177757	1947	5	0	8	0
ENSG00000228794	9470	268	308	431	85
ENSG00000225880	1317	20	9	21	10
ENSG00000230368	1971	0	0	0	0
ENSG00000234711	1058	0	0	0	0
ENSG00000283040	837	0	0	0	0
ENSG00000272438	351	0	2	0	0
ENSG00000230699	3043	0	5	0	0
ENSG00000241180	443	0	2	0	0
ENSG00000223764	4152	2	31	2	0
ENSG00000187634	3214	23	210	15	1
ENSG00000188976	5539	5233	4573	4591	1286
ENSG00000187961	3395	534	168	437	195
ENSG00000277294	57	0	0	0	0
ENSG00000187583	2833	113	138	30	19
ENSG00000187642	3424	17	20	4	4
ENSG00000272512	2086	1	0	0	2
ENSG00000188290	1118	210	188	127	48
ENSG00000187608	942	4141	5929	851	549
ENSG00000231702	154	0	2	1	0
ENSG00000224969	471	3	1	1	1
ENSG00000188157	10758	1634	3463	944	537
ENSG00000242590	402	0	0	0	0
ENSG00000217801	2171	294	337	251	121
ENSG00000273443	829	13	11	5	1
ENSG00000237330	1902	0	5	0	0
ENSG00000131591	6322	459	329	448	197
ENSG00000223823	1620	0	0	0	0
ENSG00000207730	111	0	0	0	0
ENSG00000207607	111	0	0	0	0
ENSG00000198976	83	0	0	0	0
ENSG00000272141	987	0	0	0	0
ENSG00000205231	3532	0	0	0	0
ENSG00000162571	3943	0	0	0	0
ENSG00000186891	1370	0	1	0	0
ENSG00000186827	1721	0	0	0	0
ENSG00000078808	4709	3167	5140	2737	1068
ENSG00000176022	2777	1149	220	712	302
ENSG00000184163	1794	0	1	1	1
ENSG00000260179	1558	0	0	0	0
ENSG00000160087	4712	1997	1867	2035	592
ENSG00000230415	513	4	2	3	3
ENSG00000162572	4025	40	15	67	46
ENSG00000131584	8809	433	304	534	190
ENSG00000278073	61	0	0	0	0
ENSG00000169972	2489	793	636	823	436
ENSG00000127054	8220	2674	2544	1604	724
ENSG00000274153	65	0	0	0	0
ENSG00000240731	386	11	0	10	3
ENSG00000224051	2556	983	1354	774	355
ENSG00000169962	3433	9	7	2	0
ENSG00000107404	3814	646	308	631	291
ENSG00000275884	59	0	0	0	0
ENSG00000162576	3622	264	758	107	82
ENSG00000175756	1669	3813	3689	3015	1452
ENSG00000223663	367	2	0	1	1
ENSG00000221978	6850	2281	1349	2350	537
ENSG00000224870	2525	263	525	390	148
